Provinsi,Kab_Kota,Kecamatan,Kelurahan_Desa,Alamat,Nama_SPPG,Latitude,Longitude
JAWA TIMUR,KOTA SURABAYA,GUBENG,GUBENG,"Jl. Nias No. 100 Rt 001 Rw 08, Desa Gubeng, Kec. Gubeng, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Gubeng Gubeng,-7.271241199817,112.751257658355
JAWA TIMUR,KOTA SURABAYA,TENGGILIS MEJOYO,PANJANG JIWO,"Jl. Sarono Jiwo I No. 35, Panjang Jiwo, Kec. Tenggilis Mejoyo, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Tenggilis Mejoyo Panjang Jiwo,-7.310744690388,112.759053415041
JAWA TIMUR,KOTA SURABAYA,MULYOREJO,MULYOREJO,"Jl. Dharmahusada Permai, Mulyorejo, Kec. Mulyorejo, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Mulyorejo Mulyorejo 3,-7.271760216268,112.785855092526
JAWA TIMUR,KOTA SURABAYA,RUNGKUT,PENJARINGANSARI,"Ykp Pandugo I Blok Pd 5-6, Penjaringansari, Kec. Rungkut, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Rungkut Penjaringansari,-7.322549008449,112.789185015852
JAWA TIMUR,KOTA SURABAYA,SUKOLILO,NGINDEN JANGKUNGAN,"Jl. Nginden Intan tengah no.3, nginden jangkungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Sukolilo Nginden Jangkungan 2,-7.305555862695,112.772618832255
JAWA TIMUR,KOTA SURABAYA,TAMBAKSARI,PACARKELING,"Jl. Tapak Siring No. 6B, Pacarkeling, Kec. Tambaksari, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Tambaksari Pacarkeling 2,-7.2620423175,112.753547988877
JAWA TIMUR,KOTA SURABAYA,RUNGKUT,KALIRUNGKUT,"Jl. Rungkut Harapan Blok G No.37, Kel. Kali Rungkut, Kec. Rungkut, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Rungkut Kalirungkut 2,-7.324187880067,112.779434766983
JAWA TIMUR,KOTA SURABAYA,RUNGKUT,RUNGKUT KIDUL,"Jl. Rungkut Asri Barat VII No. 23, Kel. Rungkut Kidul, Kec. Rungkut, Kota Surabaya, Provinsi Jawa Timur",SPPG Kota Surabaya Rungkut Rungkut Kidul,-7.327642020456,112.772012004988
JAWA TIMUR,KOTA SURABAYA,TAMBAKSARI,TAMBAKSARI,"Jl. Kalasan No 8, Kel Pacar Keling, Kec. Tambaksari, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Tambaksari Tambaksari 1,-7.260056094853,112.756706817428
JAWA TIMUR,KOTA SURABAYA,GUBENG,PUCANG SEWU,Jl Ngagel Jaya Barat No.8 Kel Pucang Sewu Kec Gubeng Kota Surabaya Jawa Timur,SPPG Kota Surabaya Gubeng Pucang Sewu,-7.291520585907,112.751491178177
JAWA TIMUR,KOTA SURABAYA,TAMBAKSARI,TAMBAKSARI,"Jl. Tambaksari Selatan XIII No.3, Tambaksari, Kec. Tambaksari, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Tambaksari Tambaksari 2,-7.254102680485,112.755204528922
JAWA TIMUR,KOTA SURABAYA,GUNUNG ANYAR,RUNGKUT MENANGGAL,"Jl. Kyai Abdul Karim No 41 Surabaya, Rungkut Menanggal, Kec. Gunung Anyar, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Gunung Anyar Rungkut Menanggal,-7.338715017465,112.771717967825
JAWA TIMUR,KOTA SURABAYA,SUKOLILO,KLAMPIS NGASEM,"Jl. Arief Rahman Hakim No.151, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Sukolilo Klampis Ngasem 2,-7.289840993243,112.775878624869
JAWA TIMUR,KOTA SURABAYA,SUKOLILO,KLAMPIS NGASEM,"Jl. Klampis Anom Blok D No. 8, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Sukolilo Klampis Ngasem,-7.290615382274,112.774984814588
JAWA TIMUR,KOTA SURABAYA,TAMBAKSARI,PACARKELING,"Jl. Kalasan No. 19 Rt 002 Rw 011, Pacar Keling, Kec. Tambaksari, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Tambaksari Pacarkeling 3,-7.258436417793,112.757119626159
JAWA TIMUR,KOTA SURABAYA,TENGGILIS MEJOYO,TENGGILIS MEJOYO,"Jl. Soponyono No. 6, Kel. Prapen, Kec. Tenggilis Mejoyo, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Tenggilis Mejoyo Tenggilis Mejoyo,-7.312176990002,112.756075995395
JAWA TIMUR,KOTA SURABAYA,RUNGKUT,PENJARINGANSARI,"Jl. Penjaringan Timur III, Blok Pi No. 46-47, Kel. Penjaringansari, Kec. Rungkut, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Rungkut Penjaringansari 4,-7.319335511136,112.783792498932
JAWA TIMUR,KOTA SURABAYA,RUNGKUT,KEDUNG BARUK,"JL. WISMA KEDUNG ASEM INDAH 2 BLOK HH NO. 10, KEDUNG BARUK, RUNGKUT, KOTA SURABAYA, JAWA TIMUR",SPPG Kota Surabaya Rungkut Kedung Baruk,-7.3201097,112.7792538
JAWA TIMUR,KOTA SURABAYA,TAMBAKSARI,GADING,"Jl. Kenjeran, No. 339, Gading, Kec. Tambaksari, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Tambaksari Gading 2,-7.246559386722,112.774114689219
